"list-view-price","celly","celly 2","celly 3","celly 4","list-view-location"
"26.000","1 +
                          1","55 m²","2
                        Yaşında","4. Kat","İzmir / Çiğli / Balatçık Mah."
"41.000","2 +
                          1","80 m²","5
                        Yaşında","Bahçe Katı","İzmir / Güzelbahçe / Yelki Mah."
"58.000","3 +
                          1","180 m²","4
                        Yaşında","Bahçe Katı","İzmir / Seferihisar / Çolak İbrahim Bey Mah."
"29.000","2 +
                          1","100 m²","6
                        Yaşında","3. Kat","İzmir / Seferihisar / Bengiler Mah."
"30.000","1 +
                          1","75 m²","6
                        Yaşında","7. Kat","İzmir / Çiğli / Balatçık Mah."
"150.000","4 +
                          1","230 m²","1
                        Yaşında","","İzmir / Urla / Güvendik Mah."
"40.000","2 +
                          1","85 m²","8
                        Yaşında","3. Kat","İzmir / Karabağlar / Arap Hasan Mah."
"27.000","3 +
                          1","120 m²","22
                        Yaşında","4. Kat","İzmir / Konak / Çankaya Mah."
"65.000","3 +
                          1","180 m²","11
                        Yaşında","Bahçe Katı","İzmir / Urla / Atatürk Mah."
"40.000","2 +
                          1","128 m²","5
                        Yaşında","2. Kat","İzmir / Gaziemir / Binbaşı Reşatbey Mah."
"40.000","2 +
                          1","130 m²","1
                        Yaşında","1. Kat","İzmir / Gaziemir / Hürriyet Mah."
"1.100.000","3 +
                          1","180 m²","5
                        Yaşında","Bahçe Katı","İzmir / Çeşme / Çiftlik Mah."
"21.000","2 +
                          1","85 m²","16
                        Yaşında","3. Kat","İzmir / Bayraklı / Çay Mah."
"30.000","2 +
                          1","84 m²","13
                        Yaşında","Ara Kat","İzmir / Karşıyaka / Şemikler Mah."
"24.000","3 +
                          1","125 m²","22
                        Yaşında","2. Kat","İzmir / Menemen / 30 Ağustos Mah."
"23.000","2 +
                          1","75 m²","8
                        Yaşında","Ara Kat","İzmir / Bornova / Kızılay Mah."
"45.000","2 +
                          1","90 m²","8
                        Yaşında","2. Kat","İzmir / Karşıyaka / Bostanlı Mah."
"40.000","3 +
                          1","150 m²","18
                        Yaşında","5. Kat","İzmir / Karşıyaka / Bahçelievler Mah."
"38.000","3 +
                          1","140 m²","35
                        Yaşında","4. Kat","İzmir / Karabağlar / Üçkuyular Mah."
"23.500","2 +
                          1","90 m²","4
                        Yaşında","3. Kat","İzmir / Karabağlar / Bozyaka Mah."
"20.000","1 +
                          1","70 m²","6
                        Yaşında","5. Kat","İzmir / Bayraklı / Alpaslan Mah."
"43.000","4 +
                          1","200 m²","25
                        Yaşında","Villa Katı","İzmir / Seferihisar / Mersin Alanı Mah."
"30.000","2 +
                          1","90 m²","45
                        Yaşında","4. Kat","İzmir / Konak / Altıntaş Mah."
"35.000","2 +
                          1","115 m²","6
                        Yaşında","1. Kat","İzmir / Kemalpaşa / Sekiz Eylül Mah."
"19.000","2 +
                          0","65 m²","6
                        Yaşında","3. Kat","İzmir / Buca / Adatepe Mah."
"19.500","2 +
                          1","100 m²","26
                        Yaşında","2. Kat","İzmir / Karabağlar / Tahsin Yazıcı Mah."
"23.000","1 +
                          1","48 m²","Sıfır Bina","Yüksek Giriş","İzmir / Karşıyaka / Dedebaşı Mah."
"31.000","3 +
                          1","140 m²","16
                        Yaşında","2. Kat","İzmir / Bornova / İnönü Mah."
"38.500","1 +
                          1","60 m²","6
                        Yaşında","5. Kat","İzmir / Karşıyaka / Bostanlı Mah."
"35.000","3 +
                          1","135 m²","11
                        Yaşında","3. Kat","İzmir / Buca / İnkılap Mah."
"35.000","3 +
                          1","130 m²","10
                        Yaşında","2. Kat","İzmir / Buca / İnkılap Mah."
"34.000","2 +
                          1","120 m²","31
                        Yaşında","5. Kat","İzmir / Karabağlar / Üçkuyular Mah."
"16.000","2 +
                          1","110 m²","23
                        Yaşında","2. Kat","İzmir / Buca / Adatepe Mah."
"25.000","1 +
                          1","45 m²","Sıfır Bina","2. Kat","İzmir / Buca / Adatepe Mah."
"23.000","3 +
                          1","130 m²","6
                        Yaşında","3. Kat","İzmir / Aliağa / Şakran Sayfiye Mah."
"45.000","4 +
                          0","270 m²","22
                        Yaşında","4. Kat","İzmir / Buca / Kozağaç Mah."
"58.000","3 +
                          1","160 m²","26
                        Yaşında","3. Kat","İzmir / Karşıyaka / Mavişehir Mah."
"33.500","3 +
                          1","135 m²","27
                        Yaşında","2. Kat","İzmir / Buca / İnkılap Mah."
"34.000","2 +
                          1","102 m²","36
                        Yaşında","2. Kat","İzmir / Bornova / Kazımdirik Mah."
"55.000","3 +
                          1","130 m²","Sıfır Bina","3. Kat","İzmir / Balçova / Onur Mah."
"35.000","3 +
                          1","170 m²","4
                        Yaşında","En Üst Kat","İzmir / Torbalı / Yemişlik Mah."
"42.500","3 +
                          1","130 m²","6
                        Yaşında","2. Kat","İzmir / Seferihisar / Sığacık Mah."
"23.000","2 +
                          1","115 m²","30
                        Yaşında","Yüksek Giriş","İzmir / Bayraklı / Gümüşpala Mah."
"70.000","4 +
                          1","220 m²","6
                        Yaşında","4. Kat","İzmir / Narlıdere / Yenikale Mah."
"25.000","2 +
                          1","100 m²","31
                        Yaşında","3. Kat","İzmir / Konak / Kılıç Reis Mah."
"48.000","3 +
                          1","120 m²","15
                        Yaşında","4. Kat","İzmir / Karşıyaka / Yalı Mah."
"83.000","3 +
                          1","150 m²","11
                        Yaşında","9. Kat","İzmir / Çiğli / Ataşehir Mah."
"50.000","3 +
                          1","200 m²","16
                        Yaşında","","İzmir / Çeşme / Alaçatı Mah."
"5.000","2 +
                          1","500 m²","1
                        Yaşında","Zemin","İzmir / Menderes / Oğlananası Atatürk Mah."
"33.000","1 +
                          1","86 m²","8
                        Yaşında","3. Kat","İzmir / Karşıyaka / Örnekköy Mah."
"22.000","2 +
                          1","85 m²","36
                        Yaşında","5. Kat","İzmir / Karabağlar / Vatan Mah."
"26.000","1 +
                          1","60 m²","5
                        Yaşında","Yüksek Giriş","İzmir / Seferihisar / Çolak İbrahim Bey Mah."
"31.000","2 +
                          1","100 m²","31
                        Yaşında","4. Kat","İzmir / Karşıyaka / Bahçelievler Mah."
"23.000","3 +
                          1","110 m²","26
                        Yaşında","3. Kat","İzmir / Menderes / Gümüldür Cumhuriyet Mah."
"37.000","3 +
                          1","120 m²","15
                        Yaşında","4. Kat","İzmir / Konak / Murat Reis Mah."
"22.000","3 +
                          1","115 m²","35
                        Yaşında","2. Kat","İzmir / Karabağlar / Üçkuyular Mah."
"30.000","3 +
                          1","138 m²","26
                        Yaşında","3. Kat","İzmir / Karabağlar / Tahsin Yazıcı Mah."
"30.000","3 +
                          1","135 m²","18
                        Yaşında","2. Kat","İzmir / Bornova / Atatürk Mah."
"28.000","1 +
                          1","55 m²","4
                        Yaşında","1. Kat","İzmir / Konak / Kocatepe Mah."
"19.000","2 +
                          1","75 m²","9
                        Yaşında","1. Kat","İzmir / Bayraklı / Osmangazi Mah."
"42.000","2 +
                          1","130 m²","31
                        Yaşında","5. Kat","İzmir / Karşıyaka / Nergiz Mah."
"30.000","2 +
                          1","100 m²","10
                        Yaşında","En Üst Kat","İzmir / Menderes / Cüneytbey Mah."
