"list-view-price","celly","celly 2","celly 3","celly 4","list-view-location"
"65.000","4 +
                          1","300 m²","6
                        at Age","Garden Floor","Manisa / Turgutlu / Ergenekon Mah."
"23.000","2 +
                          1","115 m²","1
                        at Age","1. Floor","Manisa / Akhisar / Hürriyet Mah."
"20.000","2 +
                          1","95 m²","New Property","1. Floor","Manisa / Akhisar / Reşat Bey Mah."
"19.000","2 +
                          1","99 m²","New Property","1. Floor","Manisa / Akhisar / Efendi Mah."
"21.000","2 +
                          1","95 m²","5
                        at Age","3. Floor","Manisa / Salihli / Eski Cami Mah."
"20.000","3 +
                          1","120 m²","16
                        at Age","3. Floor","Manisa / Salihli / Cumhuriyet Mah."
"20.000","2 +
                          1","90 m²","New Property","4. Floor","Manisa / Yunusemre / Muradiye Mah."
"19.000","2 +
                          1","100 m²","6
                        at Age","4. Floor","Manisa / Akhisar / Reşat Bey Mah."
"20.000","3 +
                          1","95 m²","30
                        at Age","Ground","Manisa / Yunusemre / Ayni Ali Mah."
"15.000","1 +
                          1","65 m²","1
                        at Age","1. Floor","Manisa / Turgutlu / Ergenekon Mah."
"18.000","1 +
                          1","100 m²","11
                        at Age","4. Floor","Manisa / Salihli / Kurtuluş Mah."
"18.000","3 +
                          1","210 m²","16
                        at Age","4. Floor","Manisa / Turgutlu / Şehitler Mah."
"25.000","4 +
                          1","175 m²","11
                        at Age","2. Floor","Manisa / Akhisar / Atatürk Mah."
"11.000","3 +
                          1","200 m²","26
                        at Age","Garden Floor","Manisa / Yunusemre / Akmescit Mah."
"15.150","3 +
                          1","115 m²","1
                        at Age","Middle Floor","Manisa / Akhisar / Medar Mah."
"18.000","3 +
                          1","135 m²","18
                        at Age","1. Floor","Manisa / Salihli / Şehitler Mah."
"25.000","2 +
                          1","110 m²","New Property","1. Floor","Manisa / Akhisar / Hürriyet Mah."
"13.000","Stüdyo","45 m²","4
                        at Age","1. Floor","Manisa / Yunusemre / Muradiye Mah."
"25.000","4 +
                          1","155 m²","1
                        at Age","4. Floor","Manisa / Yunusemre / Muradiye Mah."
"21.000","2 +
                          1","90 m²","New Property","4. Floor","Manisa / Turgutlu / Cumhuriyet Mah."
"19.000","2 +
                          1","80 m²","5
                        at Age","1. Floor","Manisa / Yunusemre / Muradiye Mah."
"15.000","2 +
                          1","115 m²","6
                        at Age","3. Floor","Manisa / Alaşehir / İstasyon Mah."
"19.000","3 +
                          1","140 m²","12
                        at Age","Raised Ground Floor","Manisa / Akhisar / İnönü Mah."
"15.000","1 +
                          1","52 m²","4
                        at Age","2. Floor","Manisa / Turgutlu / Albayrak Mah."
"20.000","3 +
                          1","130 m²","11
                        at Age","3. Floor","Manisa / Turgutlu / Yiğitler Mah."
"20.000","2 +
                          1","85 m²","New Property","2. Floor","Manisa / Yunusemre / Muradiye Mah."
"24.999","3 +
                          1","145 m²","6
                        at Age","1. Floor","Manisa / Turgutlu / Ergenekon Mah."
"22.750","3 +
                          1","150 m²","6
                        at Age","2. Floor","Manisa / Akhisar / Hürriyet Mah."
"27.000","3 +
                          1","130 m²","21
                        at Age","5. Floor","Manisa / Şehzadeler / Yarhasanlar Mah."
"18.000","3 +
                          1","175 m²","21
                        at Age","Ground Floor","Manisa / Akhisar / Hürriyet Mah."
"19.000","1 +
                          1","65 m²","5
                        at Age","3. Floor","Manisa / Yunusemre / Muradiye Mah."
"27.000","1 +
                          1","75 m²","4
                        at Age","4. Floor","Manisa / Yunusemre / Güzelyurt Mah."
"65.000","4 +
                          1","300 m²","21
                        at Age","Garden Floor","Manisa / Turgutlu / Ergenekon Mah."
"32.000","3 +
                          1","140 m²","New Property","3. Floor","Manisa / Akhisar / Atatürk Mah."
"23.000","2 +
                          1","80 m²","4
                        at Age","1. Floor","Manisa / Salihli / Gaziler Mah."
"17.000","1 +
                          1","55 m²","New Property","Top Floor","Manisa / Salihli / Keli Mah."
"15.000","3 +
                          1","120 m²","16
                        at Age","1. Floor","Manisa / Turgutlu / Turan Mah."
"25.000","3 +
                          1","125 m²","6
                        at Age","3. Floor","Manisa / Akhisar / Hürriyet Mah."
